                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.59515,                 1.0182,                0.68061,                0.93344,                0.93293,                      1,                0.98411,                 0.8517,                0.93293,                      1,                0.98411,                0.80389,                0.50335,                 0.8059,                0.65304,                0.95315,               0.003532,               0.003532,               0.003532
                     51,                0.54931,                 1.0038,                0.63465,                0.91728,                0.93247,                      1,                0.98115,                0.84685,                0.93247,                      1,                0.98115,                  0.803,                0.50702,                0.81617,                0.69553,                0.95788,                 0.0034,                 0.0034,                 0.0034
                     52,                0.57576,                0.99572,                0.64147,                0.94973,                0.93586,                      1,                0.98532,                0.84496,                0.93586,                      1,                0.98532,                0.80265,                0.52612,                 0.8186,                0.72659,                0.96612,               0.003268,               0.003268,               0.003268
                     53,                0.58353,                0.97605,                0.65071,                0.93842,                0.93581,                      1,                0.98339,                0.87353,                0.93581,                      1,                0.98339,                0.80733,                0.47636,                0.80797,                0.68776,                0.94048,               0.003136,               0.003136,               0.003136
                     54,                0.56183,                0.96971,                0.60379,                0.91304,                0.93393,                      1,                 0.9785,                0.86637,                0.93393,                      1,                 0.9785,                0.80674,                0.47151,                0.80126,                0.65564,                0.93899,               0.003004,               0.003004,               0.003004
                     55,                0.52088,                0.89983,                 0.5833,                0.89488,                 0.9336,                      1,                0.97846,                0.86368,                 0.9336,                      1,                0.97846,                0.80771,                0.45917,                0.79732,                0.60767,                0.92668,               0.002872,               0.002872,               0.002872
                     56,                 0.5829,                 1.0274,                0.64548,                0.95145,                0.93348,                      1,                0.98161,                0.87148,                0.93348,                      1,                0.98161,                0.81233,                0.45691,                 0.7913,                0.62423,                0.93304,                0.00274,                0.00274,                0.00274
                     57,                0.54047,                0.94176,                0.59565,                0.92301,                0.93164,                      1,                0.97979,                0.87785,                0.93164,                      1,                0.97979,                0.81244,                 0.4549,                0.79093,                0.61644,                0.93224,               0.002608,               0.002608,               0.002608
                     58,                0.54295,                0.94744,                0.60535,                0.93383,                0.93151,                      1,                0.97412,                0.86887,                0.93151,                      1,                0.97412,                0.80059,                0.46415,                0.78902,                 0.5786,                0.93528,               0.002476,               0.002476,               0.002476
                     59,                0.52055,                0.91657,                0.58313,                0.91289,                0.93404,                      1,                0.97371,                 0.8581,                0.93404,                      1,                0.97371,                0.79929,                0.48749,                0.79854,                0.59648,                0.94947,               0.002344,               0.002344,               0.002344
